id,geo_point_2d,code_com,xlong,ylat,capacite,capacite_cargo,mobilier,protection,couverture,acces,surveillance,lumiere,url_info,d_service,source,proprietaire,gestionnaire,date_maj,commentaires,nom_local,commune_local,adresse_local,type,code,epci,lon,lat
77,"45.166353082488044,5.690227266731115",38486.0,5.690227266731115,45.16635308248805,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2019-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,LE PRISME,SEYSSINS,79 avenue de Grenoble,stationnementcyclable,68,LaMetro,5.69023,45.16635
78,"45.166194,5.691012",38486.0,5.691012,45.166194,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,LE PRISME 1,SEYSSINS,79 avenue de Grenoble,stationnementcyclable,69,LaMetro,5.69101,45.16619
79,"45.16600600343943,5.691066829772878",38158.0,5.691066829772878,45.16600600343943,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,LE PRISME 2,SEYSSINS,79 avenue de Grenoble,stationnementcyclable,70,LaMetro,5.69107,45.16601
80,"45.17636102302693,5.687252975700789",38485.0,5.687252975700789,45.17636102302693,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,CHRONODRIVE,Seyssinet-Pariset,Avenue Vercors / Grl de gaulle,stationnementcyclable,71,LaMetro,5.68725,45.17636
81,"45.269545063351934,5.617961245794961",38540.0,5.617961245794961,45.269545063351934,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,VEUREY,VEUREY-VOROIZE,1 rue des Jayères,stationnementcyclable,72,LaMetro,5.61796,45.26955
82,"45.304094,5.953182",38501.0,5.953182,45.304094,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,PRE SEC,TENCIN,Allée Pré Sec,stationnementcyclable,73,LeGresivaudan,5.95318,45.30409
83,"45.284931,5.935417",38070.0,5.935417,45.284931,5,0,RATELIER AVEC ARCEAU,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2020-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,minibox,CHAMPALUD,LE CHAMP-PRE-FROGES,,stationnementcyclable,74,LeGresivaudan,5.93542,45.28493
89,"45.16892440544386,5.71206972623659",38185.0,5.71206972623659,45.16892440544386,10,0,CASIER INDIVIDUEL,BOX INDIVIDUEL,True,PAYANT,False,True,https://www.veloplus-m.fr/,2009-01-01,SMMAG,SMMAG,Mvélo+,2021-05-18,box,LOUISE MICHEL,GRENOBLE,3 Rue Louise Michel,stationnementcyclable,75,LaMetro,5.71207,45.16892
90,"45.30039574624809,5.9960361855592",38504.0,5.9960361855592,45.30039574624809,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,MERDARET,THEYS,Pont Berard,stationnementcyclable,76,LeGresivaudan,5.99604,45.3004
91,"45.371767280363834,6.051849544327417",38439.0,6.051849544327417,45.37176728036384,5,0,RATELIER AVEC ARCEAUX,CONSIGNE COLLECTIVE FERMEE,True,PAYANT,False,True,https://www.veloplus-m.fr/,2021-05-18,SMMAG,SMMAG,Mvélo+,2021-06-14,minibox,CRETS,CRETS-EN-BELLEDONNE,Route d'Allevard,stationnementcyclable,77,LeGresivaudan,6.05185,45.37177
